station,state,city,latitude,longitude
"Samanpura, Patna - BSPCB",Bihar,Patna,25.596727,85.085624
"Mariam Nagar, Purnia - BSPCB",Bihar,Purnia,25.366336,87.117468
"Dangi Tola, Rajgir - BSPCB",Bihar,Rajgir,25.0328,85.41948
"Police Line, Saharsa - BSPCB",Bihar,Saharsa,25.892357,86.590325
"DM Office_Kasipur, Samastipur - BSPCB",Bihar,Samastipur,25.859655,85.77944
"Dada Peer, Sasaram - BSPCB",Bihar,Sasaram,24.952822,84.002396
"Chitragupta Nagar, Siwan - BSPCB",Bihar,Siwan,26.2271665,84.3570427
"Sector 22, Chandigarh - CPCC",Chandigarh,Chandigarh,30.735567,76.775714
"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,30.751462,76.762879
"Sector-53, Chandigarh - CPCC",Chandigarh,Chandigarh,30.719859,76.738637
"32Bungalows, Bhilai - CECB",Chhattisgarh,Bhilai,21.194815,81.31477
"Civic Center, Bhilai - Bhilai Steel Plant",Chhattisgarh,Bhilai,21.185571,81.343175
"Hathkhoj, Bhilai - CECB",Chhattisgarh,Bhilai,21.224231,81.40835
"Mangala, Bilaspur - NTPC",Chhattisgarh,Bilaspur,22.08815,82.13737
"Nawapara SECL Colony, Chhal - CECB",Chhattisgarh,Chhal,22.118125,83.140608
"Rampur, Korba - CECB",Chhattisgarh,Korba,22.368195,82.746431
"Urja Nagar, Korba - CECB",Chhattisgarh,Korba,22.348441,82.549611
"OP Jindal School, Kunjemura - CECB",Chhattisgarh,Kunjemura,22.12665,83.483212
"Govt. Higher Secondary School, Milupara - CECB",Chhattisgarh,Milupara,22.1910172,83.5197009
"AIIMS, Raipur - CECB",Chhattisgarh,Raipur,21.258815,81.578979
"Bhatagaon New ISBT, Raipur - CECB",Chhattisgarh,Raipur,21.219665,81.630094
"Krishak Nagar, Raipur - CECB",Chhattisgarh,Raipur,21.237755,81.705301
"Siltara Phase-II, Raipur - CECB",Chhattisgarh,Raipur,21.371751,81.664929
"OP Jindal Industrial Park, Tumidih - CECB",Chhattisgarh,Tumidih,22.06631475,83.33820077
"Alipur, Delhi - DPCC",Delhi,Delhi,28.815329,77.15301
"Anand Vihar, Delhi - DPCC",Delhi,Delhi,28.647622,77.315809
"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,28.695381,77.181665
"Aya Nagar, Delhi - IMD",Delhi,Delhi,28.4706914,77.1099364
"Bawana, Delhi - DPCC",Delhi,Delhi,28.7762,77.051074
"Burari Crossing, Delhi - IMD",Delhi,Delhi,28.7256504,77.2011573
"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,28.5512005,77.2735737
"Chandni Chowk, Delhi - IITM",Delhi,Delhi,28.656756,77.227234
"DTU, Delhi - CPCB",Delhi,Delhi,28.7500499,77.1112615
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,28.498571,77.26484
"Dwarka-Sector 8, Delhi - DPCC ",Delhi,Delhi,28.5710274,77.0719006
"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,28.5627763,77.1180053
"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,28.6811736,77.3025234
"IIT Delhi, Delhi - IITM",Delhi,Delhi,28.54246,77.191651
"ITO, Delhi - CPCB",Delhi,Delhi,28.628624,77.24106
"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,28.73282,77.170633
"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,28.58028,77.233829
"Lodhi Road, Delhi - IMD",Delhi,Delhi,28.5918245,77.2273074
"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,28.611281,77.237738
"Mandir Marg, Delhi - DPCC",Delhi,Delhi,28.636429,77.201067
"Mundka, Delhi - DPCC",Delhi,Delhi,28.684678,77.076574
"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,28.60909,77.0325413
"Najafgarh, Delhi - DPCC",Delhi,Delhi,28.570173,76.933762
"Narela, Delhi - DPCC",Delhi,Delhi,28.822836,77.101981
"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,28.56789,77.250515
"North Campus, DU, Delhi - IMD",Delhi,Delhi,28.6573814,77.1585447
"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,28.530785,77.271255
"Patparganj, Delhi - DPCC",Delhi,Delhi,28.623763,77.287209
"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,28.674045,77.131023
"Pusa, Delhi - DPCC",Delhi,Delhi,28.639652,77.146275
"Pusa, Delhi - IMD",Delhi,Delhi,28.63611,77.173332
"R K Puram, Delhi - DPCC",Delhi,Delhi,28.563262,77.186937
"Rohini, Delhi - DPCC",Delhi,Delhi,28.732528,77.11992
"Shadipur, Delhi - CPCB",Delhi,Delhi,28.6514781,77.1473105
"Sirifort, Delhi - CPCB",Delhi,Delhi,28.5504249,77.2159377
"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,28.710508,77.249485
"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,28.531346,77.190156
"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,28.672342,77.31526
"Wazirpur, Delhi - DPCC",Delhi,Delhi,28.699793,77.165453
"Chandkheda, Ahmedabad - IITM",Gujarat,Ahmedabad,23.107969,72.574648
"Gyaspur, Ahmedabad - IITM",Gujarat,Ahmedabad,22.977134,72.553024
"Maninagar, Ahmedabad - GPCB",Gujarat,Ahmedabad,23.002657,72.591912
"Raikhad, Ahmedabad - IITM",Gujarat,Ahmedabad,23.020509,72.579261
"Rakhial, Ahmedabad - IITM",Gujarat,Ahmedabad,23.016834,72.625775
"SAC ISRO Bopal, Ahmedabad - IITM",Gujarat,Ahmedabad,23.041137,72.456691
"SAC ISRO Satellite, Ahmedabad - IITM",Gujarat,Ahmedabad,23.023389,72.515201
"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat,Ahmedabad,23.076793,72.627874
"GIDC, Ankleshwar - GPCB",Gujarat,Ankleshwar,21.613267,73.010555
"Vidhyanagar, Bhavnagar - Nexteng Enviro",Gujarat,Bhavnagar,21.755417,72.139056
"GIFT City, Gandhinagar - IITM",Gujarat,Gandhinagar,23.163798,72.677768
"IIPHG Lekawada, Gandhinagar - IITM",Gujarat,Gandhinagar,23.243639,72.68994
"Sector-10, Gandhinagar - GPCB",Gujarat,Gandhinagar,23.221714,72.654328
"Sadanand Nagar, Mehsana - Nexteng Enviro",Gujarat,Mehsana,23.59315,72.372792
"Mavdi, Rajkot - Nexteng Enviro ",Gujarat,Rajkot,22.248853,70.776774
"Katargam, Surat - Nexteng Enviro",Gujarat,Surat,21.217779,72.834787
"Science Center, Surat - SMC",Gujarat,Surat,21.170046,72.795405
"Bapunagar, Vadodara - Nexteng Enviro",Gujarat,Vadodara,22.320153,73.216285
"Phase-1 GIDC, Vapi - GPCB",Gujarat,Vapi,20.362421,72.918013
"Phase-4 GIDC, Vatva - GPCB",Gujarat,Vatva,22.969611,72.6435
"Arya Nagar, Bahadurgarh - HSPCB",Haryana,Bahadurgarh,28.6701,76.9254
"Nathu Colony, Ballabgarh - HSPCB",Haryana,Ballabgarh,28.3419248,77.319699
"H.B. Colony, Bhiwani - HSPCB",Haryana,Bhiwani,28.806223,76.141105
"Mini Secretariat, Charkhi Dadri - HSPCB",Haryana,Charkhi Dadri,28.593883,76.270653
"Municipal Corporation Office, Dharuhera -  HSPCB",Haryana,Dharuhera,28.2068,76.7997
"New Industrial Town, Faridabad - HSPCB",Haryana,Faridabad,28.39072,77.30059
"Sector 11, Faridabad - HSPCB",Haryana,Faridabad,28.376058,77.315741
"Sector 30, Faridabad - HSPCB",Haryana,Faridabad,28.4417,77.3217
"Huda Sector, Fatehabad - HSPCB",Haryana,Fatehabad,29.503664,75.467934
"NISE Gwal Pahari, Gurugram - IMD",Haryana,Gurugram,28.422681,77.148944
"Sector-51, Gurugram - HSPCB",Haryana,Gurugram,28.4227,77.0667
"Teri Gram, Gurugram - HSPCB",Haryana,Gurugram,28.4275,77.1465
"Vikas Sadan, Gurugram - HSPCB",Haryana,Gurugram,28.4501238,77.0263051
"Urban Estate-II, Hisar - HSPCB",Haryana,Hisar,29.14056,75.744941
"Police Lines, Jind - HSPCB",Haryana,Jind,29.307814,76.337619
"Rishi Nagar, Kaithal - HSPCB",Haryana,Kaithal,29.8006,76.4155
"Sector-12, Karnal - HSPCB",Haryana,Karnal,29.6953,77.0027
"Sector-7, Kurukshetra - HSPCB",Haryana,Kurukshetra,29.966942,76.875879
"General Hospital, Mandikhera(Nuh) - HSPCB",Haryana,Mandikhera,27.9002,76.9938
"Sector-2 IMT, Manesar - HSPCB",Haryana,Manesar,28.360699,76.93609
"Shastri Nagar, Narnaul - HSPCB",Haryana,Narnaul,28.060249,76.113115
"Shyam Nagar, Palwal - HSPCB",Haryana,Palwal,28.1485564,77.3320667
"Amity University, Panchgaon - IITM",Haryana,Panchgaon,28.3153,76.9143
"Sector-6, Panchkula - HSPCB ",Haryana,Panchkula,30.7057778,76.8531805555555
"Sector-18, Panipat - HSPCB",Haryana,Panipat,29.432304,76.972765
"MD University, Rohtak - HSPCB",Haryana,Rohtak,28.52123,76.37138
"F-Block, Sirsa - HSPCB",Haryana,Sirsa,29.5364,75.0158
"Murthal, Sonipat - HSPCB",Haryana,Sonipat,29.0272,77.0621
"Gobind Pura, Yamuna Nagar - HSPCB",Haryana,Yamuna Nagar,30.1480566,77.2893471
"HIMUDA Complex Phase-1, Baddi - HPPCB",Himachal Pradesh,Baddi,30.943887,76.801991
"Khrew, Pampore - JKPCC",Jammu_and_Kashmir,Pampore,34.031606,75.009712
"Khunmoh, Srinagar - JKPCC",Jammu_and_Kashmir,Srinagar,34.06313,74.96017
"Rajbagh, Srinagar - JKPCC",Jammu_and_Kashmir,Srinagar,34.066206,74.81982
"Sardar Patel Nagar, Dhanbad - JSPCB",Jharkhand,Dhanbad,23.80569,86.44268
"Vidayagiri, Bagalkot - KSPCB",Karnataka,Bagalkot,16.172806,75.659694
"BTM Layout, Bengaluru - CPCB",Karnataka,Bengaluru,12.9135218,77.5950804
"BWSSB Kadabesanahalli, Bengaluru - CPCB",Karnataka,Bengaluru,12.9352049,77.6814488
"Bapuji Nagar, Bengaluru - KSPCB",Karnataka,Bengaluru,12.951913,77.539784
"City Railway Station, Bengaluru - KSPCB",Karnataka,Bengaluru,12.9756843,77.5660749
"Hebbal, Bengaluru - KSPCB",Karnataka,Bengaluru,13.029152,77.585901
"Hombegowda Nagar, Bengaluru - KSPCB",Karnataka,Bengaluru,12.938539,77.5901
"Jayanagar 5th Block, Bengaluru - KSPCB",Karnataka,Bengaluru,12.920984,77.584908
"Jigani, Bengaluru - KSPCB",Karnataka,Bengaluru,12.7816279,77.6299145
"Kasturi Nagar, Bengaluru - KSPCB",Karnataka,Bengaluru,13.003872,77.664217
"Peenya, Bengaluru - CPCB",Karnataka,Bengaluru,13.0270199,77.494094
"RVCE-Mailasandra, Bengaluru - KSPCB",Karnataka,Bengaluru,12.921418,77.502466
"Sanegurava Halli, Bengaluru - KSPCB",Karnataka,Bengaluru,12.990328,77.5431385
"Shivapura_Peenya, Bengaluru - KSPCB",Karnataka,Bengaluru,13.0246342,77.5080115
"Silk Board, Bengaluru - KSPCB",Karnataka,Bengaluru,12.917348,77.622813
"Urban, Chamarajanagar - KSPCB",Karnataka,Chamarajanagar,11.55358,76.55521
"Chikkaballapur Rural, Chikkaballapur - KSPCB",Karnataka,Chikkaballapur,13.428828,77.731418
"Kalyana Nagara, Chikkamagaluru - KSPCB",Karnataka,Chikkamagaluru,13.328028,75.797056
"Kalabhavan, Dharwad - KSPCB",Karnataka,Dharwad,15.459706,75.008381
"Lingaraj Nagar, Hubballi - KSPCB",Karnataka,Hubballi,15.3714823,75.1160168
"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",Karnataka,Kalaburagi,17.336318,76.847397
"Stuart Hill, Madikeri - KSPCB",Karnataka,Madikeri,12.415911,75.73505
"Kadri, Mangalore - KSPCB",Karnataka,Mangalore,12.88925,74.853
"Hebbal 1st Stage, Mysuru - KSPCB",Karnataka,Mysuru,12.21041,76.37376
"Vijay Nagar, Ramanagara - KSPCB",Karnataka,Ramanagara,12.733409,77.298051
"Vinoba Nagara, Shivamogga - KSPCB",Karnataka,Shivamogga,13.94,75.555917
"Thimmalapura, Tumakuru - KSPCB",Karnataka,Tumakuru,13.377516,77.099072
"Ibrahimpur, Vijayapura - KSPCB",Karnataka,Vijayapura,16.802639,75.722694
"Collector Office, Yadgir - KSPCB",Karnataka,Yadgir,16.7602,77.1428
"Udyogamandal, Eloor - Kerala PCB",Kerala,Eloor,10.073232,76.302765
"Thavakkara, Kannur - Kerala PCB",Kerala,Kannur,11.875,75.3732
"Polayathode, Kollam - Kerala PCB",Kerala,Kollam,8.8787,76.6073
"Kariavattom, Thiruvananthapuram - Kerala PCB",Kerala,Thiruvananthapuram,8.5637,76.8865
"Plammoodu, Thiruvananthapuram - Kerala PCB",Kerala,Thiruvananthapuram,8.5149093,76.9435879
"Corporation Ground, Thrissur - Kerala PCB",Kerala,Thrissur,10.5324,76.2159
"Idgah Hills, Bhopal - MPPCB",Madhya Pradesh,Bhopal,23.264759,77.381568
"Paryavaran Parisar, Bhopal - MPPCB",Madhya Pradesh,Bhopal,23.210494,77.425409
"T T Nagar, Bhopal - MPPCB",Madhya Pradesh,Bhopal,23.233584,77.400574
"Shrivastav Colony, Damoh - MPPCB",Madhya Pradesh,Damoh,23.81748678,79.446246
"Bhopal Chauraha, Dewas - MPPCB",Madhya Pradesh,Dewas,22.9682591,76.064118
"City Center, Gwalior - MPPCB",Madhya Pradesh,Gwalior,26.203442,78.193251
"Deen Dayal Nagar, Gwalior - MPPCB",Madhya Pradesh,Gwalior,26.259242,78.216432
"Maharaj Bada, Gwalior - MPPCB",Madhya Pradesh,Gwalior,26.200388,78.147714
"Airport Area, Indore - IMC",Madhya Pradesh,Indore,22.7289,75.8076
"Chhoti Gwaltoli, Indore - MPPCB",Madhya Pradesh,Indore,22.431,75.5213
"Maguda Nagar, Indore - IMC",Madhya Pradesh,Indore,22.7524,75.8872
"Regional Park, Indore - IMC",Madhya Pradesh,Indore,22.678,75.8559
"Residency Area, Indore - IMC",Madhya Pradesh,Indore,22.7084,75.8815
"Govindh Bhavan Colony, Jabalpur - JMC",Madhya Pradesh,Jabalpur,23.163174,79.973061
"Gupteshwar, Jabalpur - JMC",Madhya Pradesh,Jabalpur,23.142888,79.916147
"Marhatal, Jabalpur - MPPCB",Madhya Pradesh,Jabalpur,23.168606,79.932247
"Suhagi, Jabalpur - JMC",Madhya Pradesh,Jabalpur,23.218135,79.95777
"Gole Bazar, Katni - MPPCB",Madhya Pradesh,Katni,23.50016,80.23284
"Sector-D Industrial Area, Mandideep - MPPCB",Madhya Pradesh,Mandideep,23.10844,77.511428
"Sector-2 Industrial Area, Pithampur - MPPCB",Madhya Pradesh,Pithampur,22.624758,75.675238
"Shasthri Nagar, Ratlam - IPCA Lab",Madhya Pradesh,Ratlam,23.331731,75.045981
"Civil Lines, Sagar - MPPCB",Madhya Pradesh,Sagar,23.838586,78.759431
"Deen Dayal Nagar, Sagar - MPPCB",Madhya Pradesh,Sagar,23.8640158,78.80289321
"Bandhavgar Colony, Satna - Birla Cement",Madhya Pradesh,Satna,24.58434363,80.8549414
"Suryakiran Bhawan NCL, Singrauli - MPPCB",Madhya Pradesh,Singrauli,24.10897,82.64558
"Mahashweta Nagar, Ujjain - MPPCB",Madhya Pradesh,Ujjain,23.1633321,75.800225
"Tarakpur, Ahmednagar - MPCB",Maharashtra,Ahmednagar,19.10122,74.73339
"Ramdaspeth, Akola - MPCB",Maharashtra,Akola,20.719516,77.000253
"Shivneri Colony, Amravati - MPCB",Maharashtra,Amravati,20.9402359,77.7895248
"Shri Shivaji Science College, Amravati - MPCB",Maharashtra,Amravati,20.939198,77.765701
"MIDC Chilkalthana, Aurangabad - MPCB",Maharashtra,Aurangabad,19.87562,75.38731
"More Chowk Waluj, Aurangabad - MPCB",Maharashtra,Aurangabad,19.8389439,75.244448
"Rachnakar Colony, Aurangabad - MPCB",Maharashtra,Aurangabad,19.863756,75.321188
"Katrap, Badlapur - MPCB",Maharashtra,Badlapur,19.16485,73.23409
"CBD Belapur, Belapur - MPCB",Maharashtra,Belapur,19.0243902,73.0406721
"Gokul Nagar, Bhiwandi - MPCB",Maharashtra,Bhiwandi,19.309073,73.057223
"Khaira, Boisar - MPCB",Maharashtra,Boisar,19.786089,72.757971
"Chauhan Colony, Chandrapur - MPCB",Maharashtra,Chandrapur,19.9629,79.298714
"MIDC Khutala, Chandrapur - MPCB",Maharashtra,Chandrapur,19.9775302,79.2337086
"Deopur, Dhule - MPCB",Maharashtra,Dhule,20.918946,74.776388
"Prabhat Colony, Jalgaon - MPCB",Maharashtra,Jalgaon,21.001264,75.565602
"Old MIDC, Jalna - MPCB",Maharashtra,Jalna,19.854616,75.905894
"Khadakpada, Kalyan - MPCB",Maharashtra,Kalyan,19.25292,73.142019
"Pimpleshwar Mandir, Kalyan - MPCB",Maharashtra,Kalyan,19.192056,72.9585188
"Shivaji University, Kolhapur - MPCB",Maharashtra,Kolhapur,16.6870449,74.2505872
"Sinchan Bhavan, Kolhapur - MPCB",Maharashtra,Kolhapur,16.7143745,74.2426398
"Sawe Wadi, Latur - MPCB",Maharashtra,Latur,18.39963,76.57452
"Kamble Tarf Birwadi, Mahad - MPCB",Maharashtra,Mahad,18.1023399,73.4783687
"Mahesh Nagar, Malegaon - MPCB",Maharashtra,Malegaon,20.555712,74.529236
"Bhayandar West, Mira-Bhayandar - MPCB",Maharashtra,Mira-Bhayandar,19.296481,72.840923
"Bandra Kurla Complex, Mumbai - IITM",Maharashtra,Mumbai,19.053536,72.84643
"Bandra Kurla Complex, Mumbai - MPCB",Maharashtra,Mumbai,19.065931,72.862131
"Borivali East, Mumbai - IITM",Maharashtra,Mumbai,19.23241,72.86895
"Borivali East, Mumbai - MPCB",Maharashtra,Mumbai,19.2243333,72.8658113
"Byculla, Mumbai - BMC",Maharashtra,Mumbai,18.9767,72.838
"Chakala-Andheri East, Mumbai - IITM",Maharashtra,Mumbai,19.11074,72.86084
"Chembur, Mumbai - MPCB",Maharashtra,Mumbai,19.0364585,72.8954371
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Maharashtra,Mumbai,19.10078,72.87462
"Colaba, Mumbai - MPCB",Maharashtra,Mumbai,18.91,72.82
"Deonar, Mumbai - IITM",Maharashtra,Mumbai,19.04946,72.923
"Ghatkopar, Mumbai - BMC",Maharashtra,Mumbai,19.083694,72.920967
"Kandivali East, Mumbai - MPCB",Maharashtra,Mumbai,19.2058,72.8682
"Kandivali West, Mumbai - BMC",Maharashtra,Mumbai,19.215859,72.831718
"Kherwadi_Bandra East, Mumbai - MPCB",Maharashtra,Mumbai,19.0632143,72.8456324
"Khindipada-Bhandup West, Mumbai - IITM",Maharashtra,Mumbai,19.1653323,72.922099
"Kurla, Mumbai - MPCB",Maharashtra,Mumbai,19.0863,72.8888
"Malad West, Mumbai - IITM",Maharashtra,Mumbai,19.19709,72.82204
"Mazgaon, Mumbai - IITM",Maharashtra,Mumbai,18.96702,72.84214
"Mindspace-Malad West, Mumbai - MPCB",Maharashtra,Mumbai,19.1878657,72.8304069
"Mulund West, Mumbai - MPCB",Maharashtra,Mumbai,19.175,72.9419
"Navy Nagar-Colaba, Mumbai - IITM",Maharashtra,Mumbai,18.897756,72.81332
"Powai, Mumbai - MPCB",Maharashtra,Mumbai,19.1375,72.915056
"Sewri, Mumbai - BMC",Maharashtra,Mumbai,19.000084,72.85673
"Shivaji Nagar, Mumbai - BMC",Maharashtra,Mumbai,19.060498,72.923356
"Siddharth Nagar-Worli, Mumbai - IITM",Maharashtra,Mumbai,19.000083,72.813993
"Sion, Mumbai - MPCB",Maharashtra,Mumbai,19.047,72.8746
"Vile Parle West, Mumbai - MPCB",Maharashtra,Mumbai,19.10861,72.83622
"Ambazari, Nagpur - MPCB",Maharashtra,Nagpur,21.121801,79.04952
"Mahal, Nagpur - MPCB",Maharashtra,Nagpur,21.14472,79.107595
"Opp GPO Civil Lines, Nagpur - MPCB",Maharashtra,Nagpur,21.152875,79.0517531
"Ram Nagar, Nagpur - MPCB",Maharashtra,Nagpur,21.143383,79.048912
"Sneh Nagar, Nanded - MPCB",Maharashtra,Nanded,19.173852,77.296291
"Gangapur Road, Nashik - MPCB",Maharashtra,Nashik,20.0073285,73.7762427
"Hirawadi, Nashik - MPCB",Maharashtra,Nashik,20.021503,73.813844
"MIDC Ambad, Nashik - MPCB",Maharashtra,Nashik,19.95022,73.73148
"Pandav Nagari, Nashik - MPCB",Maharashtra,Nashik,19.9591346,73.7788008
"Kopripada-Vashi, Navi Mumbai - MPCB",Maharashtra,Navi Mumbai,19.090337,73.014232
"Mahape, Navi Mumbai - MPCB",Maharashtra,Navi Mumbai,19.1135051,73.008978
"Nerul, Navi Mumbai - MPCB",Maharashtra,Navi Mumbai,19.008751,73.01662
"Sanpada, Navi Mumbai - MPCB",Maharashtra,Navi Mumbai,19.0575752,73.0151367
"Sector-2E Kalamboli, Navi Mumbai - MPCB",Maharashtra,Navi Mumbai,19.02579,73.10297
"Tondare-Taloja, Navi Mumbai - MPCB",Maharashtra,Navi Mumbai,19.063,73.1209
"Masoom Colony, Parbhani - MPCB",Maharashtra,Parbhani,19.265594,76.761463
"Gavalinagar, Pimpri Chinchwad - MPCB",Maharashtra,Pimpri-Chinchwad,18.63673,73.82487
"Park Street Wakad, Pimpri Chinchwad - MPCB",Maharashtra,Pimpri-Chinchwad,18.59051,73.77946
"Savta Mali Nagar, Pimpri-Chinchwad - IITM",Maharashtra,Pimpri-Chinchwad,18.614767,73.799516
"Thergaon, Pimpri Chinchwad - MPCB",Maharashtra,Pimpri-Chinchwad,18.616318,73.765797
"Bhosari, Pune - IITM",Maharashtra,Pune,18.640051,73.848956
"Bhumkar Nagar, Pune - IITM",Maharashtra,Pune,18.60577,73.749976
"Dhankawadi, Pune - IITM",Maharashtra,Pune,18.459883,73.852193
"Hadapsar, Pune - IITM",Maharashtra,Pune,18.501793,73.927532
"Katraj Dairy, Pune - MPCB",Maharashtra,Pune,18.45445,73.854155
"Mhada Colony, Pune - IITM",Maharashtra,Pune,18.57304,73.927715
"Panchawati_Pashan, Pune - IITM",Maharashtra,Pune,18.536457,73.805454
"Revenue Colony-Shivajinagar, Pune - IITM",Maharashtra,Pune,18.530085,73.849598
"Transport Nagar-Nigdi, Pune - IITM",Maharashtra,Pune,18.664282,73.763966
"Vijay Nagar, Sangli - MPCB",Maharashtra,Sangli,16.5038,74.3623
"Dnyaneshwar Nagar, Solapur - MPCB",Maharashtra,Solapur,17.6336264,75.9132495
"Ratandeep Housing Society, Solapur - MPCB",Maharashtra,Solapur,17.65439,75.90649
"Kasarvadavali, Thane - MPCB",Maharashtra,Thane,19.26777,72.97182
"Upvan Fort, Thane - MPCB",Maharashtra,Thane,19.222279,72.957979
"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",Maharashtra,Ulhasnagar,19.235581,73.159121
"Bolinj, Virar - MPCB",Maharashtra,Virar,19.445821,72.7988231
"Lumpyngngad, Shillong - Meghalaya PCB",Meghalaya,Shillong,25.5586,91.8985
"Sikulpuikawn, Aizawl - Mizoram PCB",Mizoram,Aizawl,23.7176342,92.7192841
"PWD Junction, Kohima - NPCB",Nagaland,Kohima,25.6635413,94.0989878
